Restaurent Name,Address,City,Final Address,Latitude,Longitude,Zone,Easting,Northing,Type
Kya Lenge Aap,"Shop No.5, R T Building, Pherozeshah Mehta Rd",vileparle,"Shop No.5, R T Building, Pherozeshah Mehta Rd ,  vileparle",19.0966148,72.8482303,43,273615.3888,2112908.946,Restaurent
Pali Bhavan,"10, Pali Mala Rd",bandra,"10, Pali Mala Rd ,  bandra",19.0622105,72.8293884,43,271585.1207,2109124.474,Restaurent
Global Fusion Bandra,"Linking Rd, opp. KFC",bandra,"Linking Rd, opp. KFC ,  bandra",19.065176,72.8338089,43,272054.5248,2109447.034,Restaurent
"Bastian, Bandra","Kamal Building, B/1, New, Linking Rd, next to Burger King",bandra,"Kamal Building, B/1, New, Linking Rd, next to Burger King ,  bandra",19.0634363,72.835077,43,272185.6374,2109252.781,Restaurent
"Hotel Arma Restaurant - Non Veg Restaurants in Bandra, Family Restaurants in Bandra, Best Moghali Restaurants, Best Chinese Restaurants in Bandra","ground floor, bus depot, Building no 2, Anant Kanekar Marg, opp. Bandra, beside mseb",bandra,"ground floor, bus depot, Building no 2, Anant Kanekar Marg, opp. Bandra, beside mseb ,  bandra",19.0552353,72.8448215,43,273200.2753,2108332.207,Restaurent
The Bandra Restaurant,"114, Fatema Cottage, D Monte St, near National Bakery",bandra,"114, Fatema Cottage, D Monte St, near National Bakery ,  bandra",19.0540053,72.8313259,43,271777.8496,2108213.542,Restaurent
Veranda,"331, Doctor BR Ambedkar Road, Pali Hill",bandra,"331, Doctor BR Ambedkar Road, Pali Hill ,  bandra",19.066794,72.830237,43,271680.7331,2109630.815,Restaurent
Shibuii,"1st floor, Suru palace, Hill road Diagonally, opposite Mark's & Spencer",bandra,"1st floor, Suru palace, Hill road Diagonally, opposite Mark's & Spencer ,  bandra",19.056203,72.833908,43,272052.6862,2108453.494,Restaurent
House of Mandarin Bandra,"Classic Corner, Building, Hill Rd",bandra,"Classic Corner, Building, Hill Rd ,  bandra",19.0551117,72.8265763,43,271279.3496,2108342.222,Restaurent
Good Luck Restaurant,"Mehboob Khan Chowk, 106, Hill Rd",bandra,"Mehboob Khan Chowk, 106, Hill Rd ,  bandra",19.0520176,72.824146,43,271019.2503,2108002.841,Restaurent
Nom Nom Restaurant,"1 & 2 ,Ground Floor, Delux Mahal Building, 16th Road, Near Mini Punjab, Pali Hill, Bandra West",bandra,"1 & 2 ,Ground Floor, Delux Mahal Building, 16th Road, Near Mini Punjab, Pali Hill, Bandra West ,  bandra",19.0653185,72.8308177,43,271739.8408,2109466.703,Restaurent
Sahibaan,"3, Carlton Court, Turner Road, Bandra West, opp. Axis Bank",bandra,"3, Carlton Court, Turner Road, Bandra West, opp. Axis Bank ,  bandra",19.059763,72.8297542,43,271620.2752,2108853.032,Restaurent
Lucky Restaurant,"9, Hill Rd",bandra,"9, Hill Rd ,  bandra",19.053871,72.826334,43,271252.1393,2108205.178,Restaurent
Amrut Sagar Fast Food,"Rizvi Place Society, 31, Hill Rd, opp. Marks & Spencer Showroom",bandra,"Rizvi Place Society, 31, Hill Rd, opp. Marks & Spencer Showroom ,  bandra",19.0558027,72.8342328,43,272086.332,2108408.754,Restaurent
Hotel Bandra Gomantak,"General Arunkumar Vaidya Marg, opp. Sarita Apartments",bandra,"General Arunkumar Vaidya Marg, opp. Sarita Apartments ,  bandra",19.05276,72.8322526,43,271873.7049,2108074.468,Restaurent
Arbab,"Plot no 117, Shop, no 4, 28th Rd",bandra,"Plot no 117, Shop, no 4, 28th Rd ,  bandra",19.0600304,72.8334223,43,272006.789,2108877.861,Restaurent
Barbeque Nation - Bandra,"Ground Floor, 355, Hotel Metro Palace, Hill Rd, opposite Marks and Spencer",bandra,"Ground Floor, 355, Hotel Metro Palace, Hill Rd, opposite Marks and Spencer ,  bandra",19.0561673,72.8343374,43,272097.842,2108448.983,Restaurent
New Bostan Restaurant,"Swami Vivekananda Rd, opposite jama masjid",bandra,"Swami Vivekananda Rd, opposite jama masjid ,  bandra",19.0518478,72.838582,43,272538.7957,2107965.256,Restaurent
Tossin Pizza Hill Road Bandra | Best Pizza in Bandra West,"Shop Number 9, Ground Floor, Rizvi House, A Wing, 34, Hill Rd",bandra,"Shop Number 9, Ground Floor, Rizvi House, A Wing, 34, Hill Rd ,  bandra",19.0561681,72.8350297,43,272170.7244,2108448.172,Restaurent
"Yalla Yalla, Pali Hill, Bandra West","Shop No.3, Diamond House Building, Linkway Hotel Lane, Linking Rd, behind National College",bandra,"Shop No.3, Diamond House Building, Linkway Hotel Lane, Linking Rd, behind National College ,  bandra",19.0649091,72.835427,43,272224.4947,2109415.381,Restaurent
National Restaurant,"21-A, Turner Rd, near Sahakari Bhandar",bandra,"21-A, Turner Rd, near Sahakari Bhandar ,  bandra",19.0567575,72.8393806,43,272629.5645,2108507.777,Restaurent
Hachi with love,·,matunga,"· ,  matunga",19.0268747,72.8553352,43,274268.7317,2105178.847,Restaurent
XI'S CHINESE,"Shop no 1, Meghji Siddhi, Andhra Valley Rd, opp. MSEB",matunga,"Shop no 1, Meghji Siddhi, Andhra Valley Rd, opp. MSEB ,  matunga",19.0365965,72.8521967,43,273951.4371,2106259.183,Restaurent
Ram Ashraya,"Shreeji Sadan, 24, Bhandarkar Rd, Opposite Matunga Kabutar Khana",matunga,"Shreeji Sadan, 24, Bhandarkar Rd, Opposite Matunga Kabutar Khana ,  matunga",19.0279393,72.8517356,43,273891.1657,2105301.339,Restaurent
Udipi Restaurant,"461, Bhaudaji Rd",matunga,"461, Bhaudaji Rd ,  matunga",19.02795,72.855589,43,274296.908,2105297.566,Restaurent
"Messy Addaa -Matunga,Mumbai Cafe and restaurant","Noor Mahal, Plot No 541, Ground Floor, near King Circle",matunga,"Noor Mahal, Plot No 541, Ground Floor, near King Circle ,  matunga",19.0259151,72.8549403,43,274225.8549,2105073.117,Restaurent
Gold Coins Eatery & Bar - Matunga,"Shop No. 4, 6-12, Marble Arch Building Senapati Bapat Marg off Tulsi Pipe Lane Near Matunga West, Station",matunga,"Shop No. 4, 6-12, Marble Arch Building Senapati Bapat Marg off Tulsi Pipe Lane Near Matunga West, Station ,  matunga",19.0291747,72.8466785,43,273360.3747,2105444.63,Restaurent
Ahar Restaurant,"Maneklal Mansion, Kings Circle, Maheshwari Udyan, Dr Baba Saheb Ambedkar Road, Matunga East",matunga,"Maneklal Mansion, Kings Circle, Maheshwari Udyan, Dr Baba Saheb Ambedkar Road, Matunga East ,  matunga",19.0274335,72.856399,43,274381.4957,2105239.344,Restaurent
Cafe Madras®️,"GROUND FLOOR KAMAKSHI BUILDING, 391/B, Bhaudaji Rd",matunga,"GROUND FLOOR KAMAKSHI BUILDING, 391/B, Bhaudaji Rd ,  matunga",19.0276203,72.8550415,43,274238.8156,2105261.769,Restaurent
Rangoli - Thali & Multi Cuisine Restaurant,"Matunga Gujarati Club Ltd, Nathalal Parekh Marg, next to Don Bosco International",matunga,"Matunga Gujarati Club Ltd, Nathalal Parekh Marg, next to Don Bosco International ,  matunga",19.0263457,72.8571599,43,274460.1426,2105117.937,Restaurent
Shirke's VadaPav Centre,"Nagardas Building, Laxmi Narayan Ln",matunga,"Nagardas Building, Laxmi Narayan Ln ,  matunga",19.0286837,72.8514787,43,273865.1245,2105384.083,Restaurent
Trilok family restaurant & bar,"308, Chandawarkar Marg",matunga,"308, Chandawarkar Marg ,  matunga",19.0275739,72.8516264,43,273879.1731,2105261.027,Restaurent
New Punjab Restaurant & Bar,"King Circle, Bhaudaji Rd",matunga,"King Circle, Bhaudaji Rd ,  matunga",19.0274124,72.8552261,43,274257.9713,2105238.515,Restaurent
Arya Bhavan,"Shop No. 9 & 10, Bhanujyoti Building Opposite Matunga Central Railway Station, Lakhamsi Napoo Rd",matunga,"Shop No. 9 & 10, Bhanujyoti Building Opposite Matunga Central Railway Station, Lakhamsi Napoo Rd ,  matunga",19.0270381,72.8510217,43,273814.7779,2105202.487,Restaurent
Udipi Shri Krishna Boarding,"1st Floor, LBS Market Building, Lakhamsi Napoo Road, Near Matunga Central Railway Station, Matunga",matunga,"1st Floor, LBS Market Building, Lakhamsi Napoo Road, Near Matunga Central Railway Station, Matunga ,  matunga",19.0273424,72.8507532,43,273786.9193,2105236.522,Restaurent
Durga Restaurant and Bar,"279-B, Nalla Mansion, Opposite Matunga Central Railway Station, Lakhamsi Napoo Rd",matunga,"279-B, Nalla Mansion, Opposite Matunga Central Railway Station, Lakhamsi Napoo Rd ,  matunga",19.0265782,72.8507458,43,273785.105,2105151.927,Restaurent
Chai matunga,Kings Cir,matunga,"Kings Cir ,  matunga",19.0274124,72.8552261,43,274257.9713,2105238.515,Restaurent
Mumbai Bites Matunga,Bhaudaji Rd,matunga,"Bhaudaji Rd ,  matunga",19.0311187,72.8544842,43,274184.868,2105649.793,Restaurent
CHICAGO PIZZA (MATUNGA - WEST),"SHOP NO. 1, MEGHJI SIDDHI CHAWL, Andhra Valley Rd, near TATA POWER HOUSE",matunga,"SHOP NO. 1, MEGHJI SIDDHI CHAWL, Andhra Valley Rd, near TATA POWER HOUSE ,  matunga",19.036569,72.85286,43,274021.2358,2106255.284,Restaurent
Mani's Lunch Home,"Mhaskar Building, Plot. No. 153/C, Lakshami Narayan Rd",matunga,"Mhaskar Building, Plot. No. 153/C, Lakshami Narayan Rd ,  matunga",19.0228143,72.8495797,43,273657.2235,2104736.729,Restaurent
A.Rama Nayak's Udipi Idli House,"# 462, Ram Bhavan, Babasaheb Ambedkar Road, Maheshwari Udyan E), Kings Cir",matunga,"# 462, Ram Bhavan, Babasaheb Ambedkar Road, Maheshwari Udyan E), Kings Cir ,  matunga",19.0275,72.8563889,43,274380.5221,2105246.719,Restaurent
Parel Food Corner Family Restaurant,"12 to 16 Iqbal mansion, Dr Baba Saheb Ambedkar Rd, near premire cinema",kurla,"12 to 16 Iqbal mansion, Dr Baba Saheb Ambedkar Rd, near premire cinema ,  kurla",19.00734,72.84072,43,272703.2992,2103035.005,Restaurent
Tezz Foods,"Shop 22 Premier Exotica, opposite Don Bosco",kurla,"Shop 22 Premier Exotica, opposite Don Bosco ,  kurla",19.0803518,72.8890712,43,277892.0522,2111056.161,Restaurent
Persian Darbar,"Shop no, Kanakia Zillion, 17, Lal Bahadur Shastri Rd",kurla,"Shop no, Kanakia Zillion, 17, Lal Bahadur Shastri Rd ,  kurla",19.0752386,72.8764306,43,276554.6906,2110506.164,Restaurent
Burnt Chillies Indo-Chinese Cuisine,"Shop No. 200 E1, Behind Lazeez Seekh Kabab A. H. Wadia Marg, New Mill Rd",kurla,"Shop No. 200 E1, Behind Lazeez Seekh Kabab A. H. Wadia Marg, New Mill Rd ,  kurla",19.07902,72.8802896,43,276965.9519,2110919.88,Restaurent
TIC TAC TOE (T3) RESTAURANT AND HERBAL SHISHA,"Kohinoor city mall F90 1st floor Opp. Holy Cross high scool, Nausena Vihar Road",kurla,"Kohinoor city mall F90 1st floor Opp. Holy Cross high scool, Nausena Vihar Road ,  kurla",19.0816834,72.8863469,43,277607.0823,2111207.038,Restaurent
Barbeque Nation,"Unit S - 49 , 50, Lal Bahadur Shastri Rd",kurla,"Unit S - 49 , 50, Lal Bahadur Shastri Rd ,  kurla",19.0698128,72.8752296,43,276420.9912,2109907.012,Restaurent
Naaz Hotel Family Restaurant,"Kantharia Mahal, Lal Bahadur Shastri Rd, Opposite phoenix market city",kurla,"Kantharia Mahal, Lal Bahadur Shastri Rd, Opposite phoenix market city ,  kurla",19.0863795,72.8889774,43,277890.2214,2111723.596,Restaurent
Deluxe Restaurant,"Bus Depot, Deluxe Restaurant Mubeen Manzil, Lal Bahadur Shastri Rd, near Kurla",kurla,"Bus Depot, Deluxe Restaurant Mubeen Manzil, Lal Bahadur Shastri Rd, near Kurla ,  kurla",19.0727107,72.8759389,43,276499.5424,2110226.93,Restaurent
Bey's Kitchen,"Shop No 7, Kurla Garden, opp. Hari Masjid",kurla,"Shop No 7, Kurla Garden, opp. Hari Masjid ,  kurla",19.0630613,72.8723399,43,276107.7406,2109163.249,Restaurent
Prakash Restaurant,"laxman rao yadav market, S G barve marg, kurla West, behind L ward municipal office",kurla,"laxman rao yadav market, S G barve marg, kurla West, behind L ward municipal office ,  kurla",19.0704672,72.8790936,43,276828.6046,2109974.533,Restaurent
Alif Restaurant,"Shop No. 6, Gomes town, Opp Phoenix Mall, behind Naaz Hotel",kurla,"Shop No. 6, Gomes town, Opp Phoenix Mall, behind Naaz Hotel ,  kurla",19.0863795,72.8889774,43,277890.2214,2111723.596,Restaurent
Sawali Restaurant (Pure Veg),"Shop No. 11, Angulimala Co-Operative Society, B-Wing, SG Barve Marg, Nehru Nagar, Kurla East, Near Shiv Sena Shaka",kurla,"Shop No. 11, Angulimala Co-Operative Society, B-Wing, SG Barve Marg, Nehru Nagar, Kurla East, Near Shiv Sena Shaka ,  kurla",19.0628423,72.8830215,43,277231.8718,2109125.394,Restaurent
Naaz Restaurant,"Building No 5, Shamsuddin Nagar, Andheri - Kurla Rd",kurla,"Building No 5, Shamsuddin Nagar, Andheri - Kurla Rd ,  kurla",19.119993,72.8686328,43,275794.2263,2115470.869,Restaurent
"Punjab Grill - Phoenix Market City, Mumbai","Lah Bahadur Shastri Rd Shop 81 & 82, First Floor, Phoenix Market City, Kamani Junction",kurla,"Lah Bahadur Shastri Rd Shop 81 & 82, First Floor, Phoenix Market City, Kamani Junction ,  kurla",19.0863795,72.8889774,43,277890.2214,2111723.596,Restaurent
Wahid Restaurant,Pipe Line Rd,kurla,"Pipe Line Rd ,  kurla",19.0747693,72.8814051,43,277077.6763,2110447.87,Restaurent
Pop Tate's,"Unit 83, Lal Bahadur Shastri Rd",kurla,"Unit 83, Lal Bahadur Shastri Rd ,  kurla",19.0698198,72.8752309,43,276421.1375,2109907.785,Restaurent
NYRA'S COASTAL CURRY,"Shop no 485, HARI KUMBHAR CHAWL, CST Road, near New Model Cinema",kurla,"Shop no 485, HARI KUMBHAR CHAWL, CST Road, near New Model Cinema ,  kurla",19.0735166,72.8762631,43,276534.7493,2110315.737,Restaurent
Pukhtaan,Lal Bahadur Shastri Rd,kurla,"Lal Bahadur Shastri Rd ,  kurla",19.0760409,72.8775201,43,276670.4469,2110593.596,Restaurent
Food paradise,"Shop no. C2, Shiv krupa society, SG Barve Marg, opp. Abhyudaya bank",kurla,"Shop no. C2, Shiv krupa society, SG Barve Marg, opp. Abhyudaya bank ,  kurla",19.0617924,72.8831016,43,277238.9005,2109009.06,Restaurent
Shiv Sagar,"Shop F31, Lal Bahadur Shastri Rd",kurla,"Shop F31, Lal Bahadur Shastri Rd ,  kurla",19.0871632,72.8889544,43,277888.8465,2111810.387,Restaurent
Sahara Hotel,"Aero View C.H.S, Lal Bahadur Shastri Rd, near Bank Of Baroda",kurla,"Aero View C.H.S, Lal Bahadur Shastri Rd, near Bank Of Baroda ,  kurla",19.079703,72.880025,43,276939.0158,2110995.831,Restaurent
Asaanjo Kitchen,"102, Thrupti CHSL., Behind MK Plaza, Ghodbunder Rd",thane,"102, Thrupti CHSL., Behind MK Plaza, Ghodbunder Rd ,  thane",19.2655669,72.9667946,43,286311.7978,2131463.626,Restaurent
Dehatee Kitchen,Viviana Mall Road,thane,"Viviana Mall Road ,  thane",19.2087175,72.9715119,43,286734.3016,2125164.292,Restaurent
BBQ Adda - Thane,"Shop No.5, Dive chawl, near Dutta mandir Runwal nagar Opp,. Viviana mall",thane,"Shop No.5, Dive chawl, near Dutta mandir Runwal nagar Opp,. Viviana mall ,  thane",19.2087175,72.9715119,43,286734.3016,2125164.292,Restaurent
Chulha Village- Best Restaurant in Ghodbunder Road & Hiranandani Estate,"Block No 100, Next to Vijay Annex, Bldg. 31/32 Waghbil-Hiranandani Estate, Junction, Ghodbunder Rd",thane,"Block No 100, Next to Vijay Annex, Bldg. 31/32 Waghbil-Hiranandani Estate, Junction, Ghodbunder Rd ,  thane",19.2584937,72.9761156,43,287282.6204,2130669.132,Restaurent
Greek Gyros - Best Cafe In Thane - Best Restaurant In Thane,"Sunrise shopping complex, behind Hiranandani Meadows",thane,"Sunrise shopping complex, behind Hiranandani Meadows ,  thane",19.2272008,72.9740704,43,287027.2043,2127207.352,Restaurent
Lord Of Bar-B-Que,"service road, Flower Valley (All Heavens Banquet, Eastern Express Hwy, opp. Viviana Mall",thane,"service road, Flower Valley (All Heavens Banquet, Eastern Express Hwy, opp. Viviana Mall ,  thane",19.2073849,72.9725915,43,286846.1249,2125015.444,Restaurent
The Caravan Menu,"Sun Magnetica, Green Rd, near LIC building",thane,"Sun Magnetica, Green Rd, near LIC building ,  thane",19.1952078,72.9617632,43,285691.5224,2123680.671,Restaurent
The Misal Haus - Best Misal in Thane,"Shop No 8. Saurabh Tower, Comrade Rajaram Vishnu Rawool Marg",thane,"Shop No 8. Saurabh Tower, Comrade Rajaram Vishnu Rawool Marg ,  thane",19.2046388,72.9744865,43,287041.8864,2124709.117,Restaurent
D Two States Fine Dine,"Dosti Imperia, 27, Khewra Cir Marg, Ghodbunder Rd",thane,"Dosti Imperia, 27, Khewra Cir Marg, Ghodbunder Rd ,  thane",19.2322091,72.9753984,43,287173.3095,2127760.17,Restaurent
Burrito Factory Mexican Cafe - Best Cafes In Thane West - Best Restaurants In Thane West,"Shop 24, First Floor, Wonder Mall Ghodbunder Rd, Kapurbawdi, Thane West Thane",thane,"Shop 24, First Floor, Wonder Mall Ghodbunder Rd, Kapurbawdi, Thane West Thane ,  thane",19.2211274,72.9771512,43,287343.3556,2126531.226,Restaurent
HITCHKI,"Viviana Mall, Eastern Express Hwy, near Jupiter Hospital",thane,"Viviana Mall, Eastern Express Hwy, near Jupiter Hospital ,  thane",19.2097096,72.9723931,43,286828.2567,2125273.043,Restaurent
Family Tree,"Shop no 4, Ravi Industrial Estate, Panchpakhadi",thane,"Shop no 4, Ravi Industrial Estate, Panchpakhadi ,  thane",19.1935288,72.9665125,43,286188.879,2123488.959,Restaurent
The Yellow Chilli,Eastern Express Hwy,thane,"Eastern Express Hwy ,  thane",19.1724239,72.9684543,43,286365.8846,2121150.159,Restaurent
China Bistro Thane,"Infinity Shopping Complex, Ground Floor, Asher Residency, Pokharan Road Number 2, Gandhi Nagar, Thane West",thane,"Infinity Shopping Complex, Ground Floor, Asher Residency, Pokharan Road Number 2, Gandhi Nagar, Thane West ,  thane",19.2195567,72.9711311,43,286708.2426,2126364.714,Restaurent
Barbeque Nation,"2nd Floor, Korum Mall, Mangal Pandey Road Near Cadbury Compound, Eastern Express Hwy",thane,"2nd Floor, Korum Mall, Mangal Pandey Road Near Cadbury Compound, Eastern Express Hwy ,  thane",19.2028031,72.9653798,43,286081.736,2124517.063,Restaurent
Utsav Restaurant,"Arun Kumar Vaidya Rd, Banacha Pada, Panch Pakhadi, Thane West",thane,"Arun Kumar Vaidya Rd, Banacha Pada, Panch Pakhadi, Thane West ,  thane",19.1962065,72.9670282,43,286246.5799,2123784.761,Restaurent
Grand Thali Restaurant,·,thane,"· ,  thane",19.2183307,72.9780897,43,287438.4517,2126220.47,Restaurent
Rainbow,"Fortune Park Lakecity ,Eastern Express Highway, Service Road",thane,"Fortune Park Lakecity ,Eastern Express Highway, Service Road ,  thane",19.2097592,72.9726031,43,286850.4062,2125278.277,Restaurent
Barbeque Nation - Mumbai - Ghodbunder Road,"4th Floor, Rosa Vista Maharashtra State Highway 42 opposite suraj Water Park Kavesar, Thane West Thane, Ghodbunder Road",thane,"4th Floor, Rosa Vista Maharashtra State Highway 42 opposite suraj Water Park Kavesar, Thane West Thane, Ghodbunder Road ,  thane",19.2559648,72.9718121,43,286826.8888,2130394.449,Restaurent